,City,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Date
454,Shahr-e Babak,IR,30.12,55.12,24.28,63,0,5.59,1545358402
455,Klimovo,RU,52.38,32.2,22.39,88,88,11.86,1545358483
456,Tongzi,CN,28.78,105.09,49.97,96,92,4.25,1545358483
457,Porto Murtinho,BR,-21.7,-57.88,82.82,60,0,9.06,1545358484
458,Alice Springs,AU,-23.7,133.88,89.6,24,0,17.22,1545356460
459,Torbay,CA,47.66,-52.73,28.4,68,20,41.38,1545354000
460,Batagay-Alyta,RU,67.8,130.41,-39.9,0,44,1.45,1545358484
462,Dalby,AU,-27.18,151.26,93.2,41,64,13.87,1545354000
464,Oranjemund,ZA,-28.55,16.43,62.3,94,0,11.41,1545358485
465,Chaykovskaya,RU,58.13,55.54,-0.41,84,90,2.24,1545355800
466,Bonavista,CA,48.65,-53.11,30.4,100,88,31.27,1545358317
467,Edson,CA,53.59,-116.44,22.57,69,0,6.04,1545358486
469,Tezu,IN,27.93,96.16,54.7,66,24,1.74,1545358486
470,Hyeres,FR,43.12,6.14,42.13,93,0,2.24,1545355800
471,Leningradskiy,RU,69.38,178.42,-13.98,86,0,10.13,1545358487
472,Umm Lajj,SA,25.02,37.27,56.54,100,0,7.11,1545358487
473,Santa Rosalia,IT,38.07,13.27,51.8,87,0,5.82,1545357000
475,Hirado,JP,33.32,129.49,55.4,93,75,3.36,1545357600
476,Buenos Aires,AR,-34.61,-58.44,70.99,88,75,4.7,1545354000
477,Chupa,PE,-15.11,-69.99,51.8,66,75,4.7,1545357600
478,Santiago del Estero,AR,-27.8,-64.26,69.37,97,88,13.94,1545358488
479,Mamlyutka,KZ,54.94,68.54,-7.61,83,0,8.95,1545357600
480,Rio Gallegos,AR,-51.62,-69.22,60.8,36,0,19.46,1545354000
481,Baijiantan,CN,45.63,85.18,2.23,87,0,8.57,1545358489
482,Heide,DE,54.19,9.09,43.43,93,75,8.05,1545355200
483,Bilibino,RU,68.06,166.44,-40.08,0,24,2.35,1545358490
484,Cuamba,MZ,-14.8,36.54,68.42,99,68,2.86,1545358490
485,Monte Carmelo,BR,-18.73,-47.5,68.92,74,8,2.75,1545358490
486,Zambezi,ZM,-13.55,23.12,64.42,92,12,3.8,1545358490
488,Elizabeth City,US,36.3,-76.22,63.21,93,90,10.29,1545357600
489,Hobyo,SO,5.35,48.53,78.01,79,0,18.79,1545358491
490,Mezhdurechensk,RU,53.69,88.07,-7.36,59,48,7.9,1545358491
491,Werda,DE,50.44,12.3,39.49,81,80,13.87,1545357000
492,Winnemucca,US,40.97,-117.74,39.02,72,1,6.93,1545353760
493,Warrnambool,AU,-38.38,142.48,59.74,92,92,16.33,1545358420
494,Palmer,AU,-34.85,139.16,68,45,40,20.8,1545355800
495,Ambatondrazaka,MG,-17.82,48.43,62.12,93,20,1.34,1545358492
496,Guaruja,BR,-23.99,-46.26,82.56,65,0,3.36,1545357600
497,Moree,AU,-29.46,149.84,100.4,24,0,12.75,1545354000
498,Severodvinsk,RU,64.56,39.82,1.4,84,90,6.71,1545357600
499,Fergus Falls,US,46.28,-96.08,21.92,92,90,11.41,1545357300
500,West Bay,GB,50.71,-2.76,53.6,93,75,11.41,1545357000
501,Coahuayana,MX,18.62,-100.35,56.77,67,0,3.02,1545358494
502,Jackville,CI,5.21,-4.42,80.6,88,20,2.24,1545355800
503,Filadelfia,PY,-22.35,-60.04,88.63,49,0,15.66,1545358494
504,Temir,KZ,49.14,57.13,7.94,82,56,9.57,1545358495
505,Cadereyta,MX,25.58,-99.98,58.15,51,5,5.82,1545356700
507,Opuwo,NA,-18.06,13.84,63.47,23,0,7,1545358495
508,Porbandar,IN,21.64,69.61,63.92,81,0,9.91,1545358496
509,Pangkalanbuun,ID,-2.68,111.62,83.59,95,48,3.58,1545358496
510,Tuyen Quang,VN,21.82,105.22,69.91,95,64,3.8,1545358496
511,College,US,64.86,-147.8,-20.76,75,1,0.85,1545357480
512,Yining,CN,29.04,114.56,54.65,89,92,3.02,1545358496
513,Ornes,FR,49.25,5.47,43.77,93,92,13.87,1545357000
514,Huarmey,PE,-10.07,-78.15,65.5,89,20,3.2,1545358243
516,Huilong,CN,28.89,110.18,49.12,98,92,6.11,1545358497
517,Cumberland,US,41.97,-71.43,41.92,88,90,3.09,1545357360
519,Kirakira,SB,-10.46,161.92,82.51,100,76,2.3,1545358498
520,Bucerias,MX,20.76,-105.33,68,88,5,2.24,1545356580
521,Senno,RU,57.76,27.95,14,85,92,6.71,1545357600
522,Taoudenni,ML,22.68,-3.98,49.84,50,0,9.4,1545358499
524,Santiago Atitlan,GT,14.64,-91.23,63.97,80,0,0.18,1545358499
525,Pangnirtung,CA,66.15,-65.72,0.97,61,56,3.31,1545358263
526,Birobidzhan,RU,48.79,132.93,12.17,62,12,3.98,1545358500
528,Anchorage,US,61.22,-149.89,16.57,99,90,3.36,1545357480
529,Koping,SE,59.51,15.99,30.2,86,80,6.93,1545357000
530,Barra Patuca,HN,15.8,-84.28,80.12,92,32,5.99,1545358500
531,Tagusao,PH,9.19,117.81,76.93,100,100,5.37,1545358500
532,Puerto Escondido,MX,15.86,-97.07,78.8,65,20,9.91,1545356460
533,Chirilagua,SV,13.22,-88.14,75.94,100,8,4.36,1545358501
534,Brae,GB,60.4,-1.35,45.61,87,92,18.34,1545357000
535,Beloha,MG,-25.17,45.06,74.9,92,0,5.7,1545358502
536,Strezhevoy,RU,60.73,77.6,14,85,90,8.95,1545357600
537,Kisangani,CD,0.52,25.21,74.09,84,44,2.3,1545358503
538,Lewiston,US,46.42,-117.02,44.37,85,90,20.8,1545357180
539,Nova Olimpia,BR,-14.8,-57.29,77.69,88,0,2.68,1545358504
541,Santa Maria da Boa Vista,BR,-8.8,-39.83,77.29,45,20,11.36,1545358504
542,Bay Roberts,CA,47.58,-53.28,28.4,68,20,41.38,1545354000
544,San Cristobal,EC,-0.39,-78.55,55.4,100,75,5.82,1545357600
545,Basoko,CD,1.23,23.61,81.25,49,76,7.23,1545358506
546,Mahajanga,MG,-15.72,46.32,80.6,88,20,5.59,1545357600
547,Changping,CN,40.22,116.23,37.4,44,0,8.95,1545355800
548,Nikki,BJ,9.94,3.21,59.74,56,0,5.99,1545358507
549,Mali,CN,27.53,102.2,50.65,39,0,1.74,1545358507
550,Tomatlan,MX,19.93,-105.25,60.46,90,0,2.3,1545358508
551,Bilma,NE,18.69,12.92,46.96,75,0,3.2,1545358509
552,Sabla,NG,12.75,4.71,60.05,39,0,11.59,1545358509
553,Victor Harbor,AU,-35.55,138.62,68,45,40,20.8,1545355800
554,Kalmunai,LK,7.42,81.82,75.4,100,92,5.37,1545358510
555,Manado,ID,1.49,124.85,78.8,94,75,4.7,1545355800
557,Kodinsk,RU,58.6,99.18,-10.15,17,24,9.13,1545357929
558,Ulaangom,MN,49.98,92.07,-15.91,57,12,7.05,1545358305
559,Santa Marta,CO,11.24,-74.21,84.2,66,40,17.67,1545357600
560,Matagami,NG,9.67,8.4,60.46,45,8,8.61,1545358511
561,Gorontalo,ID,0.54,123.06,84.04,75,68,2.57,1545358511
562,Berlevag,NO,70.86,29.09,5.11,100,0,5.88,1545358511
563,Carahue,CL,-38.71,-73.16,53.6,93,0,6.93,1545357600
564,Umm Kaddadah,SD,13.6,26.69,52.04,45,0,14.94,1545358512
565,Loei,TH,17.49,101.72,71.6,94,75,2.24,1545354000
566,Trapani,IT,38.02,12.54,50.77,87,0,5.82,1545357000
567,Anderson,US,34.51,-82.65,48.79,100,90,6.71,1545357300
568,Dalvik,SE,57.79,14.13,32,90,92,6.93,1545357000
569,Jumla,NP,29.28,82.18,9.2,47,0,1.45,1545358513
570,Talakan,RU,50.29,130.28,-4.89,53,20,3.8,1545358514
571,Saint-Georges,CA,46.12,-70.67,23.74,73,64,2.3,1545358514
573,Komsomolskiy,RU,67.55,63.78,25.49,93,88,25.84,1545358514
574,Jiangyou,CN,31.78,104.73,45.61,83,92,4.03,1545358515
575,Zaozhuang,CN,34.86,117.55,48.04,100,80,4.25,1545358515
576,Reconquista,AR,-29.14,-59.64,69.5,100,92,4.03,1545358497
577,Terra Nova,BR,-12.41,-38.62,78.8,78,20,10.29,1545357600
578,Puerto Madero,AR,-34.61,-58.36,70.43,94,0,2.46,1545357600
579,Sayyan,YE,15.17,44.32,28.6,64,0,2.19,1545358516
580,Le Port,FR,42.87,1.37,16.36,77,36,1.68,1545358517
581,Dhidhdhoo,MV,6.88,73.1,82.42,100,80,10.25,1545358517
582,Qasigiannguit,GL,68.82,-51.19,21.2,100,92,2.98,1545357000
583,Ust-Kuyga,RU,70,135.55,-53.76,0,0,3.24,1545358518
584,Kanker,IN,20.27,81.49,59.74,83,0,2.46,1545358327
585,Potchefstroom,ZA,-26.71,27.1,60.14,80,0,8.84,1545358497
586,Avera,US,33.19,-82.53,59.94,86,90,9.17,1545357300
587,Ibra,OM,22.69,58.55,40.52,99,0,2.3,1545358518
588,Ankang,CN,32.73,108.99,41.83,64,80,2.46,1545358518
589,Panjab,AF,34.38,67.02,-18.43,56,0,0.96,1545358519
590,Kudahuvadhoo,MV,2.67,72.89,80.71,100,20,6.71,1545358519
591,Gravdal,NO,59.79,5.78,43.72,56,44,21.92,1545357000
592,Kiama,AU,-34.67,150.86,64.4,100,90,8.05,1545355800
593,Dawlatabad,AF,36.41,64.91,32.02,100,36,1.3,1545358520
594,Burns Lake,CA,54.23,-125.76,25.27,77,92,7.9,1545358520
595,Cedar City,US,37.68,-113.06,42.98,42,1,3.36,1545357180
597,Dvinskoy,RU,62.16,45.12,6.05,82,80,2.98,1545358521
598,Rongcheng,CN,37.16,122.42,51.14,93,92,10.25,1545358521
599,Klaksvik,FO,62.23,-6.59,41,93,76,6.93,1545357000
600,Cap Malheureux,MU,-19.98,57.61,78.8,83,75,11.41,1545357600
601,Bato,PH,13.36,123.37,78.91,97,92,3.69,1545358521
602,Novosheshminsk,RU,55.06,51.22,9.92,83,92,9.84,1545358522
603,Luderitz,NA,-26.65,15.16,57.13,90,0,11.41,1545358522
604,Teupasenti,HN,14.22,-86.7,68,72,40,2.24,1545357600
605,Fare,PF,-16.7,-151.02,83.45,100,48,13.31,1545358522
606,Varangaon,IN,21.01,75.91,56.23,73,0,4.99,1545358523
608,Camocim,BR,-2.9,-40.84,77.47,90,88,9.57,1545358523
610,Namibe,AO,-15.19,12.15,70.9,100,56,3.87,1545358523
611,Hailar,CN,49.2,119.7,14.65,72,80,4.76,1545358524
612,Yinchuan,CN,38.48,106.21,24.28,51,0,4.36,1545358524
613,Eyl,SO,7.98,49.82,74.32,100,0,17.11,1545358524
614,Lima,PE,-12.06,-77.04,71.6,83,75,13.87,1545357600
615,Hauterive,FR,46.09,3.45,46.49,81,75,17.22,1545355800
617,Makakilo City,US,21.35,-158.09,76.23,57,1,8.05,1545357420
618,Moroni,US,39.52,-111.59,21.44,71,12,2.75,1545358260
619,Nandigama,IN,16.78,80.29,68,88,20,4.03,1545355800
620,Inhambane,MZ,-23.87,35.38,75.44,100,80,6.26,1545358242
621,Liku,ID,-0.73,119.89,86.38,70,24,5.55,1545358526
